group,item1,item2,item3,item4,item5,item6,item7,item8,item9
A,5,6,5,3,4,3,6,7,6
A,6,7,6,2,3,2,5,6,5
A,4,5,4,4,5,4,5,4,5
A,5,5,6,3,2,3,6,6,7
A,6,6,5,4,4,5,4,5,4
A,5,4,5,2,3,2,5,6,5
A,7,6,6,3,4,3,6,5,6
A,4,5,5,5,4,5,3,4,3
A,6,5,6,2,2,3,7,6,6
A,5,6,5,4,3,4,5,5,6
A,4,4,5,3,4,3,4,5,4
A,6,7,6,2,3,2,6,7,6
A,5,5,4,4,5,4,5,4,5
A,7,6,7,3,2,3,6,6,7
A,5,4,5,5,4,5,4,3,4
A,6,6,6,2,3,2,5,6,5
A,4,5,4,4,4,4,6,5,6
A,5,6,5,3,2,3,5,6,5
A,6,5,6,4,5,4,4,5,4
A,7,7,6,2,3,2,6,6,7
A,5,6,5,3,4,3,5,5,5
A,4,4,5,4,3,4,4,4,5
A,6,5,5,2,2,3,6,7,6
A,5,6,6,3,4,3,5,6,5
A,4,5,4,5,5,4,4,3,4
A,6,6,5,2,3,3,6,6,6
A,5,5,6,4,4,4,5,5,5
A,7,6,6,3,2,2,6,7,7
A,5,4,5,4,5,5,4,4,4
A,6,7,6,2,2,2,5,6,6
A,4,5,5,3,4,4,6,5,5
A,5,5,4,5,4,4,5,6,5
A,6,6,6,2,3,3,4,5,4
A,5,4,5,4,4,4,6,6,6
A,7,6,7,3,2,2,5,6,7
A,4,5,4,5,5,5,4,4,5
A,6,5,6,2,3,2,6,7,6
A,5,6,5,4,4,4,5,5,5
A,4,4,4,3,2,3,4,5,4
A,6,7,6,2,3,2,6,6,6
A,5,5,5,4,5,4,5,4,5
A,7,6,6,3,3,3,6,7,6
A,5,4,5,2,2,2,5,6,5
A,6,6,6,4,4,4,4,4,5
A,4,5,5,3,4,3,6,5,6
A,5,5,4,5,5,5,5,6,5
A,6,7,6,2,2,3,4,5,4
A,5,6,5,4,3,3,6,6,6
A,4,4,5,3,4,4,5,5,5
A,7,6,6,2,3,2,6,7,7
A,5,5,5,4,4,4,5,6,5
A,6,6,6,3,2,3,4,4,4
A,4,5,4,5,5,5,6,5,6
A,5,4,5,2,3,2,5,6,5
A,6,7,6,4,4,4,4,5,4
A,5,5,5,3,3,3,6,6,6
A,7,6,7,2,2,2,5,7,6
A,4,5,4,4,5,4,4,4,5
A,6,6,6,3,3,3,6,5,6
A,5,5,5,2,4,3,5,6,5
A,4,4,4,5,4,5,4,5,4
A,6,5,6,3,2,2,6,6,7
A,5,6,5,4,5,4,5,4,5
A,7,7,6,2,3,3,4,6,4
A,5,4,5,3,4,3,6,7,6
A,6,6,6,4,3,4,5,5,6
A,4,5,5,2,2,2,4,4,5
A,5,5,4,5,4,5,6,5,5
A,6,7,6,3,5,3,5,6,6
A,5,6,5,2,2,2,4,5,4
A,4,4,5,4,4,4,6,6,6
B,4,4,5,5,5,4,3,3,4
B,5,5,4,6,5,6,4,4,3
B,3,4,4,5,6,5,3,4,4
B,4,5,5,4,5,4,2,3,3
B,5,4,4,6,6,5,4,3,4
B,4,3,4,5,4,5,3,2,3
B,3,4,3,6,5,6,4,4,4
B,5,5,5,5,6,5,3,3,3
B,4,4,4,4,4,4,2,3,2
B,3,3,4,6,5,6,4,4,3
B,5,4,5,5,5,5,3,2,3
B,4,5,4,6,6,5,4,3,4
B,3,4,3,5,4,5,3,4,3
B,5,5,4,4,5,4,2,3,2
B,4,4,5,6,6,6,4,4,4
B,3,3,3,5,5,5,3,3,3
B,5,4,4,6,5,6,2,2,3
B,4,5,5,5,4,5,4,3,4
B,3,4,4,4,6,4,3,4,3
B,5,5,5,6,5,6,3,3,4
B,4,3,4,5,5,5,2,2,2
B,3,4,3,6,6,6,4,4,4
B,5,5,4,5,4,5,3,3,3
B,4,4,5,4,5,4,2,3,3
B,3,3,4,6,6,5,4,4,4
B,5,4,5,5,5,6,3,2,3
B,4,5,4,6,4,5,4,3,4
B,3,4,4,5,6,5,3,4,3
B,5,5,5,4,5,4,2,3,2
B,4,4,4,6,6,6,4,4,4
B,3,3,3,5,4,5,3,3,3
B,5,4,4,6,5,6,2,2,3
B,4,5,5,5,6,5,4,3,4
B,3,4,3,4,4,4,3,4,3
B,5,5,4,6,5,6,3,3,4
B,4,3,5,5,6,5,2,2,2
B,3,4,4,6,5,6,4,4,4
B,5,5,5,5,4,5,3,3,3
B,4,4,4,4,6,4,2,3,3
B,3,3,3,6,5,6,4,4,4
B,5,4,5,5,5,5,3,2,3
B,4,5,4,6,6,6,4,3,4
B,3,4,4,5,4,5,3,4,3
B,5,5,5,4,5,4,2,3,2
B,4,4,4,6,6,5,4,4,4
B,3,3,3,5,5,6,3,3,3
B,5,4,4,6,4,5,2,2,3
B,4,5,5,5,6,5,4,3,4
B,3,4,3,4,5,4,3,4,3
B,5,5,4,6,5,6,3,3,4
B,4,3,5,5,4,5,2,2,2
B,3,4,4,6,6,6,4,4,4
B,5,5,5,5,5,5,3,3,3
B,4,4,4,4,4,4,2,3,3
B,3,3,3,6,6,5,4,4,4
B,5,4,5,5,5,6,3,2,3
B,4,5,4,6,5,6,4,3,4
B,3,4,4,5,6,5,3,4,3
B,5,5,5,4,4,4,2,3,2
B,4,4,4,6,5,6,4,4,4
B,3,3,3,5,6,5,3,3,3
